30-Day Volume (USD),        Maker Fee,  Taker Fee
$0       -  $10,000         0.25%,      0.40%
$10,001  -  $50,000         0.20%,      0.35%
$50,001  -  $100,000        0.15%,      0.25%
$100,001 -  $250,000        0.12%,      0.22%
$250,001 -  $500,000        0.10%,      0.20%
$500,001 -  $1M"            0.08%,      0.18%
$1M      -  $2.5M           0.06%,      0.16%
$2.5M    -  $5M             0.04%,      0.14%
$5M      -  $10M            0.02%,      0.12%
$10M+                       0.00%,      0.10%

"$100M+ (Institutional/VIP, with additional product activity)",0.00%,0.08%